System,Utterance,Source,ref1,ref2,hyp
CUNI-DocTransformer,426,"V TPCA pracuje v současnosti zhruba 2500 lidí a firma představuje jednoho z největších exportérů v České republice a zároveň zaměstnavatele na Kolínsku.
","TPCA have about 2500 employees currently and the company is one of the biggest exporters in the Czech Republic and also employers in Kolínsko.
","Currently, TPCA employs approximately 2,500 people, making it one of the most important employees in the Kolín district, and it also ranks among one of the top exporters in the Czech Republic.
","The TPCA currently employs about 2,500 people and the company represents one of the largest exporters in the Czech Republic and also an employer in Cologne.
"
CUNI-DocTransformer,427,"Rakovina zabila nevěstu krátce po svatbě: Zanechala vzkaz rodině
","Bride died of cancer shortly after wedding: Message left to her family
","Bride leaves message for family after losing cancer battle shortly following her wedding
","Cancer kills bride shortly after wedding: She leaves message for family
"
CUNI-DocTransformer,428,"Víc jak dva roky bojovala se zákeřnou rakovinou Gemma Sissonová, a když už se zdálo, že rakovinu porazila, nemoc se ozvala znova.
","Gemma Sisson fight with insidious cancer for more than two years and when she seemed to overcome it, the illness appeared again.
","After more than a two-year battle with cancer, it looked as if Gemma Sisson had finally defeated the insidious disease just for it to come back again.
","For more than two years, Gemma Sisson battled a vicious cancer, and just when it seemed she had beaten the cancer, the disease came back.
"
CUNI-DocTransformer,429,"Devětatřicetiletá žena, která milovala kulturistiku, nakonec skončila na lůžku v hospici, kde si ještě stačila vzít svou životní lásku.
","The 39-year-old woman, who was keen on bodybuilding, was finally taken to a hospice where she married the love of her life.
","The 39-year-old woman who loved bodybuilding later ended up in a hospice bed where she married the love of her life just in time.
","The 39-year-old woman, who loved bodybuilding, eventually ended up in a hospice bed, where she was still able to marry the love of her life.
"
CUNI-DocTransformer,430,"Nemoci bohužel podlehla.
","Unfortunately she was struck down by the illness.
","Unfortunately, she succumbed to the disease.
","Sadly, she succumbed to the disease.
"
CUNI-DocTransformer,431,"Pár hodin po smrti se na jejím účtu na sociální síti facebook objevil šokující vzkaz pro ty nejbližší.
","A few hours after her death, a shocking message addressed to her closest ones appeared on her social media Facebook profile.
","Just hours after her death, her family and closest friends were stunned when a shocking post appeared on her Facebook account.
","A few hours after her death, a shocking message appeared on her Facebook account for those closest to her.
"
CUNI-DocTransformer,432,"Gemma Sissonová pocházející z anglického Leedsu milovala kulturistiku.
","Gemma Sisson came from Leeds, England, and she loved bodybuilding.
","Gemma Sisson was from Leeds, UK, and she loved bodybuilding.
","Gemma Sisson, from Leeds, England, loved bodybuilding.
"
CUNI-DocTransformer,433,"S přítelem Rickym Moorem, s nímž žila víc jak 16 let, cestovali po soutěžích konajících se po celém světě.
","She and her boyfriend Ricky Moore, with whom she lived for more than 16 years, travelled and participated competitions all over the world.
","With her boyfriend of 16 years, Ricky Moore, she travelled to competitions all over the world.
","She and her boyfriend Ricky Moore, with whom she had lived for more than 16 years, toured competitions held all over the world.
"
CUNI-DocTransformer,434,"Devětatřicetiletá žena sportovala a žila zdravě, přesto jí v dubnu v roce 2018 byla diagnostikována rakovina.
","The 39-year-old woman was into sports and lived a healthy lifestyle, however she was diagnosed with cancer in April 2018.
","Despite having an active and healthy lifestyle, the 39-year-old was diagnosed with cancer in April 2018.
","The 39-year-old woman played sports and lived healthily, yet in April 2018, she was diagnosed with cancer.
"
CUNI-DocTransformer,435,"Gemma začala vyčerpávající léčbu, radioterapii, v naději, že se uzdraví.
","Gemma started with an exhausting treatment, radiotherapy, hoping to recover.
","Gemma started her treatment, undergoing gruelling radiotherapy in the hope of getting better.
","Gemma began a grueling course of treatment, radiotherapy, in the hope that she would recover.
"
CUNI-DocTransformer,436,"Po měsících léčby se skutečně zdálo, že se Gemmě podařilo nad rakovinou zvítězit, ovšem v srpnu roku 2019 se rakovina vrátila a tentokrát napadla páteř.
","After a few months of treatment it did seem that Gemma managed to fight off cancer succesfully, however in August 2019 cancer came back again and spreaded to her spine this time.
","After months of treatment, it looked as if Gemma had beaten the disease, but in August 2019 the cancer came back and this time it had taken hold of her spine.
","After months of treatment, it did seem that Gemma had managed to beat the cancer, but in August 2019, the cancer returned, this time attacking her spine.
"
CUNI-DocTransformer,437,"Kulturistka a osobní trenérka podle informací britského deníku Daily Mirror podstoupila desetihodinovou operaci páteře a posléze znovu začala s drastickou léčbou.
","According to the Daily Mirror, the bodybuilder and personal coach had a 10-hour operation of her spine and after that she started with a drastic treatment again.
","According to Daily Mirror, a British daily newspaper, the bodybuilder and personal trainer underwent a 10-hour spinal operation that was followed again by gruelling treatment.
","The bodybuilder and personal trainer, according to the British Daily Mirror, underwent a 10-hour spinal surgery and eventually resumed the drastic treatment.
"
CUNI-DocTransformer,438,"Ovšem všechno bylo marné.
","But everything became vain.
","But everything was in vain.
","However, it was all in vain.
"
CUNI-DocTransformer,439,"Začátkem tohoto roku, na její devětatřicáté narozeniny, jí lékaři oznámili, že jí zbývá pár měsíců života.
","Early this year, on her 39th birthday, she was informed by doctors that she only had been given a few months to live.
","At the beginning of this year, on her 39th birthday, the doctors told her she had just months to live.
","Earlier this year, on her thirty-ninth birthday, doctors told her she had a few months to live.
"
CUNI-DocTransformer,440,"V dubnu se nakonec pohledná blondýnka rozhodla nastoupit do hospice v Leedsu, kde ji každou chvíli navštěvovala její rodina, která jí dokonce uspořádala svatbu s její láskou Rickym.
","In April, the beautiful blond girl decided to go to the hospice in Leeds where her family, who often visited her, even ensured a wedding with her love Ricky.
","In April, the attractive blonde decided to get admitted to the hospice in Leeds, where she was frequently visited by her family that even arranged for her to get married to her partner Ricky.
","In April, the handsome blonde finally decided to attend a hospice in Leeds, where her family visited her every so often and even arranged her wedding to her love Ricky.
"
CUNI-DocTransformer,441,"Manželství trvalo dva měsíce.
","The marriage lasted for two months.
","The marriage lasted only two months.
","The marriage lasted two months.
"
CUNI-DocTransformer,442,"Ricky vzal naposledy ještě Gemmu na jejich dvouměsíční výročí do restaurace.
","Ricky took Gemma to a restaurant to celebrate their 2-month wedding anniversary for the last time.
","For their two-month anniversary, Ricky took Gemma to a restaurant for the very last time.
","Ricky took Gemma to a restaurant for the last time on their two-month anniversary.
"
CUNI-DocTransformer,443,"O čtyři dny později Gemma zemřela v jeho náručí.
","Four days later Gemma died in his arms.
","Four days later, Gemma died in his arms.
","Four days later, Gemma died in his arms.
"
CUNI-DocTransformer,444,"Jen pár hodin po úmrtí se na jejím účtu na sociální síti objevil příspěvek, který Gema napsala pro svou rodinu.
","Only a few hours after her passing away, a post on social media written by Gemma to her family appeared on her profile.
","Just hours after her death, a post appeared on her social media account that she had written for her family.
","Just hours after her death, a post that Gemma had written for her family appeared on her social media account.
"
CUNI-DocTransformer,445,"""Jestliže bylo toto zveřejněno, znamená to, že jsem konečně zemřela po týdnech příliš dlouhého bojování.
","""If this was published, that means I had died finally after so many weeks of too long fighting.
","""If this is being posted it means I've finally died after weeks of clinging on far too long.
","'If this has been made public, it means I have finally died after weeks of fighting too long.
"
CUNI-DocTransformer,446,"Ačkoliv budu mít zlomené srdce, že tu nechávám své milované, budu tak ráda, když se zbavím toho, co mi tato hrozná nemoc způsobila.
","Although my heart is broken that I am leaving my beloved alone here, I will be happy that I cannot bear anymore everything what this terrible illness has caused to me.
","Although I'll be heartbroken to leave behind all my loved ones, I'll be so glad to get away from what this bastard disease has left me as.
","Although I will be heartbroken to leave my loved ones behind, I will be so glad to be rid of what this terrible illness has caused me.
"
CUNI-DocTransformer,447,"Nemohu dostatečně poděkovat Rickymu, který byl po mém boku po celou dobu a dal mi obrovské množství lásky a podpory během té strašné doby,"" napsala na sociální síť s tím, že bolest a utrpení konečně ustalo a ona našla klid.
","I cannot thank Ricky enough that he stood by my side all the time and that he gave me so much love and support during that terrible period,"" she posted on social network adding that pain and suffering ended finally and she found peace.
","I really can't thank Rick enough, who has been by my side all the way and given me an amazing amount of love and support throughout this horrific time,"" she wrote on social media, saying that the pain and suffering has now stopped, and she is finally at peace.
","I can't thank Ricky enough, who has been by my side all this time and has given me a tremendous amount of love and support during this terrible time,"" she wrote on the social media site, saying that the pain and suffering had finally stopped and she had found peace.
"
CUNI-DocTransformer,448,"""Jsem také vděčná za všechnu podporu, kterou jsem získala od všech svých sledujících na sociální síti,"" napsala s tím, že by si každý měl vážit svého života a žít ho naplno.
","""I am also grateful for all support which I got from all my followers on social media,"" she wrote and added that everyone should value and live their lives to the fullest.
","""I am also grateful for all the support I have received from all of my followers on social media,"" she said urging people not to take anything for granted and live their life to the fullest.
","""I am also grateful for all the support I have received from all of my social media followers,"" she wrote, saying that everyone should treasure their lives and live them to the fullest.
"
CUNI-DocTransformer,449,"Automaty na umění prodávají potní seznamku, amulet z houby i pexeso
","Artmat sell sweat dating, mushroom amulet and pairs game
","Art Vending Machines selling a sudorific matchmaker, an amulet made from mushrooms, or even a memory game set.
","Automats for art sell sweat dating, mushroom amulet and memory game
"
CUNI-DocTransformer,450,"Za sto korun získá kolemjdoucí kapesní dílo většinou začínajících českých výtvarníků.
","For the price of 100 crowns, a passer-by will get a pocket artistic item made by mostly beginning Czech artists.
","For a hundred crowns, passersby can procure a pocket size artwork from Czech artists, most of whom are newcomers.
","For one hundred crowns, passers-by will get a pocket work by mostly beginning Czech artists.
"
CUNI-DocTransformer,451,"Obrázky a další tvorbu vytvářejí přímo pro artmat, dopředu tak vědí, že se musejí vejít do velikosti 8,5 na 5,5 centimetru.
","They create pictures and other works directly for the artmat, they know ahead that they must keep the dimensions 8,5 to 5,5 centimetres.
","These artists already know that the pieces that they create must be no larger than 8,5 by 5,5 centimeters.
","They create pictures and other creations directly for the artmat, so they know in advance that they must fit into the size of 8.5 by 5.5 centimeters.
"
CUNI-DocTransformer,452,"Každý kus je číslován a signován.
","Each item has its number and sign.
","Each piece is numbered and signed.
","Each piece is numbered and signed.
"
CUNI-DocTransformer,453,"""V balení je vždycky kurátorský text o umělci a pak dílo samotné,"" upřesnila kurátorka projektu Petra Widžová.
","""In each package, there is always a custodian's text about an artist and then the item itself,"" Petra Widžová, the project custodian, specified.
","Both a curator's description of the artist and separately of the artwork itself are included in the package, elaborated Petra Widžová, curator of the project.
","""In the package there is always a curatorial text about the artist and then the work itself,"" said Petra Widžová, the curator of the project.
"
CUNI-DocTransformer,454,"Artmat pracuje s principem náhody.
","The Artmat works with the principle of chance.
","Artmat operates on the principle of chance.
","Artmat works with the principle of chance.
"
CUNI-DocTransformer,455,"Kupující se tak může nechat překvapit, jaké umělecké dílo získá.
","A buyer can be taken surprise by what a piece of work he or she will get.
","Accordingly, buyers let themselves be surprised to find out which art work they will end up with.
","The buyer can thus be surprised by what artwork he will get.
"
CUNI-DocTransformer,456,"Aktuálně se může stát třeba novým majitelem fantaskních ilustrací Alexandry Štoplové nebo minipohledů od Terezy Bonaventurové, které lze i poslat.
","At the moment, they can have for example imaginary illustrations by Alexandra Štoplová or minipostcards by Tereza Bonaventurová, which you can also send.
","For instance, currently, a new owner might receive a fantastic illustration by Alexandra Štoplová or a mini postcard from Tereza Bonaventurová, both of which can also be delivered by post.
","Currently, he may become the new owner of fanciful illustrations by Alexandra Štoplová or mini-postcards by Tereza Bonaventurová, which can also be sent.
"
CUNI-DocTransformer,457,"Umělec Punx 23 ve spolupráci s Dorou Dutkovou připravil pexeso spojené s procházkou Prahou.
","Artist Punx 23, in cooperation with Dora Dutková, prepared a pairs game associated with Prague walks.
","The artist Punx 23 collaborated with Dora Dutková to create a Memory game that involves taking a walk through Prague.
","The artist Punx 23, in cooperation with Dora Dutková, has prepared a memory game connected with a walk through Prague.
"
CUNI-DocTransformer,458,"Kartičky je třeba spárovat s domovními znameními.
","You need to pair the cards with house signs.
","The cards must be paired with house signs.
","Cards must be paired with house signs.
"
CUNI-DocTransformer,459,"Ilona Polanski vytvořila pro Artmat kolekci tetování.
","Ilona Polanski created a tattoo collection for the Artmat.
","Ilona Polanski prepared a collection of tattoos for Artmat.
","Ilona Polanski has created a collection of tattoos for Artmat.
"
CUNI-DocTransformer,460,"Marie Ladrová a Juliána Chomová prodávají kapesní balení spirituality: první z umělkyň nabízí ochranný amulet z troudnatce a věšticí kartičky, druhá sérii ilustrací vycházející z jejího komiksu Spiritistky.
","Marie Ladrová and Juliána Chomová sell pocket packages of spirituality: the first of the female artists offers a protection amulet from tinder fungus and tarot cards, the second one offers series of illustrations based on her Spiritistka comics.
","Marie Ladrová and Juliana Chomová are selling pocket-sized spiritualities: the former artist offers a protective amulet constructed from hardwood and a fortune teller card, the latter, an illustrated series derived from her comics, Spiritisky.
","Marie Ladrová and Juliána Chomová sell pocket packs of spirituality: the first of the artists offers a protective amulet made of tinderbox and fortune cards, the second a series of illustrations based on her Spiritistky comics.
"
CUNI-DocTransformer,461,"Platy ve zdravotnictví příští rok vzrostou maximálně o pět procent.
","Salaries in health service to rise by 5% at maximum next year.
","Next year, salaries in the health care sector will increase by no more than five percent.
","Healthcare salaries will increase by a maximum of five percent next year.
"
CUNI-DocTransformer,462,"Větší navýšení je podle Vojtěcha nereálné
","Higher payrise is not realistic, according to Vojtěch
","According to Vojtěch, a larger increase is not realistic.
","A larger increase is unrealistic, according to Vojtěch
"
CUNI-DocTransformer,463,"Platy ve zdravotnictví by v příštím roce mohly vzrůst nejvýše o pět procent, řekl ministr zdravotnictví Adam Vojtěch (za ANO) v Otázkách Václava Moravce v České televizi.
","Salaries in health services are supposed to rise by 5% at maximum next year, Adam Vojtěch (ANO), the Minister of the Health, said that in Otázky Václava Moravce in the Czech Televison.
","Salaries in health care next year could increase by no more than five percent, said Adam Vojtěch, the minister of health (for ANO) during ""Otazky Václava Moravce"" on Czech Television.
","Healthcare salaries could increase by a maximum of five percent next year, said Health Minister Adam Vojtěch (for ANO) in Václav Moravec's Questions on Czech Television.
"
CUNI-DocTransformer,464,"Požadavek odborářů na zvýšení až o 15 procent považuje za nereálný.
","He does not think that the union members' requirements for up to 15% payrise are realistic.
","He views union requests for an increase by around 15 percent as unrealistic.
","He considers the demand of trade unionists for an increase of up to 15 percent unrealistic.
"
CUNI-DocTransformer,465,"Řekl také, že stát by se měl snažit být soběstačný v zajišťování ochranných pomůcek.
","He also said that the state should try to be independent in ensuring protective aids.
","He also said that the state should be self-reliant in securing protective equipment.
","He also said that the state should try to be self-sufficient in providing protective equipment.
"
CUNI-DocTransformer,466,"Nemocnice podle něj nyní jejich zásoby mají.
","Hospitals, according to him, have enough of them in stock now.
","According to him, hospitals currently have enough supplies.
","Hospitals now have their supplies, he said.
"
CUNI-DocTransformer,467,"""Já si myslím, že nárůst (platů) může být někde do pěti procent,"" uvedl ministr.
","""I think that the payrise might be by 5% somewhere,"" the minister said.
","I expect to see an increase (of salary) of up to five percent, announced the minister.
","""I think the increase (in salaries) can be somewhere up to five percent,"" said the minister.
"
CUNI-DocTransformer,468,"Podle něj je třeba reflektovat současnou situaci, kdy od března zasáhla do výběru pojistného pandemie koronaviru a vládní nařízení proti jeho šíření.
","According to him, it is necessary to reflect the current situation, when the coronaviru pandemic and the government's anti-pamdemic measures have had an impact on the collection of health insurance payments since March.
","According to him, it is imperative to take into account the current situation with the Coronavirus pandemic along with government measures against its spread that have been affecting the collection of insurance premiums since March.
","According to him, it is necessary to reflect the current situation, when the coronavirus pandemic and government regulations against its spread intervened in the collection of insurance premiums from March.
"
CUNI-DocTransformer,469,"Příjmy pojišťoven v té době klesly.
","The incomes of the insurance companies decreased at that time.
","Insurance premiums during this period have decreased.
","Insurance companies' incomes fell at the time.
"
CUNI-DocTransformer,470,"""O 15 procent mi přijde navýšení v tuto chvíli nereálné,"" řekl Vojtěch.
","""In my opinion, payrise by 15% is not realistic at the moment, "" Vojtěch said.
","I view an increase by 15 percent as unrealistic at this time, said Vojtěch.
","""A 15 percent increase seems unrealistic to me at the moment,"" said Vojtěch.
"
CUNI-DocTransformer,471,"Průměrný měsíční výdělek lékaře v akutní lůžkové péči podle dat Ústavu zdravotnických informací a statistiky (ÚZIS) pravděpodobně letos dosáhne 88 312 korun, sestry 47 498 korun.
","An intensive unit care doctor's average month salary will probably reach 88,312 crowns, according to the data of the Institute of Health Information and Statistic of the Czech Republic (ÚZIS), a nurse salary will reach 47,498 crowns.
","According to the Institute of Health Information and Statistics (ÚZIS), the average monthly income of a physician in critical inpatient care could reach 88,312 crowns, and for nurses, 47,498 crowns.
","The average monthly earnings of doctors in acute inpatient care according to data from the Institute of Health Information and Statistics (IHIS) are likely to reach 88,312 crowns this year, nurses 47,498 crowns.
"
CUNI-DocTransformer,472,"Rozdíl mezi platem sester ve státních nemocnicích a mzdou u jiných zřizovatelů bude až sedm tisíc korun.
","The difference between salaries of nurses in hospitals and other health care facilities will be up to 7,000 crowns.
","There is a difference of about seven thousand crowns between salaries for nurses employed at state hospitals, and wages earned by those employed at other facilities.
","The difference between the salaries of nurses in state hospitals and those of other founders will be as high as CZK 7,000.
"
CUNI-DocTransformer,473,"Z dat ÚZIS také vyplývá, že se zastavil úbytek zdravotních sester v nemocnicích.
","It also follows from ÚZIS data that there has not been a lack of hospital nurses any more.
","Data from ÚZIS also revealed that the decline in nurses in hospitals has ceased.
","The IHIS data also show that the decline of nurses in hospitals has stopped.
"
CUNI-DocTransformer,474,"Průměrná mzda v Česku byla v roce 2019 podle dat Českého statistického úřadu 34 125 korun.
","The average wage in the Czech Republic was 34,125 crowns in 2019, according to the data of the Czech Statistical Office.
","According to the Czech Statistical Office, the average wage in the Czech Republic was 34,125 crowns.
","The average wage in the Czech Republic was CZK 34,125 in 2019, according to data from the Czech Statistical Office.
"
CUNI-DocTransformer,475,"Zástupci odborářů už v červnu uvedli, že pro rok 2021 budou požadovat minimální navýšení o deset procent, ideálně o 15 procent.
","In June, union members representatives stated that they were going to ask for a minimum payrise by 10% in year 2021, opimaly by up to 15%.
","Already in June, trade union representatives announced that for the year 2021, they would be demanding a minimum raise by ten percent, but ideally 15 percent.
","Trade union representatives said in June that they would demand a minimum increase of ten percent for 2021, ideally 15 percent.
"
CUNI-DocTransformer,476,"Kritizují dlouhodobě významný rozdíl mezi výdělkem lékařů a sester ve státních nemocnicích, které se musí řídit platovými tabulkami, a smluvními mzdami v nemocnicích měst, krajů nebo soukromých.
","For a long time, they have criticised a significant difference between doctor and state hospitals nurses salaries, where the salaries must follow the salary tables, and by contract wages in town, regional or private hospitals.
","They have long criticized the significant difference between the incomes earned by doctors and nurses at state hospitals, which are determined by salary charts, and contract-based wages in municipal and regional hospitals as well as private ones.
","They criticize the long-term significant difference between the earnings of doctors and nurses in state hospitals, which have to follow pay scales, and contractual salaries in hospitals of cities, regions or private ones.
"
CUNI-DocTransformer,477,"Požadují proto také, aby byly pro zdravotníky platové tabulky jednotné.
","That is why they also require that the salary tables for medics would be unified.
","For this reason, they are also demanding that the salary charts be unified.
","They also demand, therefore, that the pay scales be uniform for health workers.
"
CUNI-DocTransformer,478,"U zdravotních sester letos bude rozdíl dosahovat až sedmi tisíc korun měsíčně.
","The difference between nurses salaries will reach up to 7,000 crowns per month this year.
","This year, the difference in earnings for nurses will reach as much as seven thousand crowns a month.
","For nurses this year, the difference will be as high as CZK 7,000 per month.
"
CUNI-DocTransformer,479,"Například u lékařů ale loni mzdy rostly rychleji než platy.
","But e.g. doctors' wages increase faster than salaries last year.
","Last year, for example, wages for doctors rose more quickly than salaries.
","For example, for doctors, wages grew faster than salaries last year.
"
CUNI-DocTransformer,480,"Podle prezidenta České stomatologické komory Romana Šmuclera by odboráři měli vnímat, jak je na tom v současnosti stát.
","According to Roman Šmucler, the president of the Czech Dental Chambre, union members should be aware of the current situation of the state.
","According to Roman Šmucler, the president of the Czech chamber of dentistry, the trade unions should take into account the current condition of the state.
","According to the president of the Czech Dental Chamber, Roman Šmucler, trade unionists should perceive how the state is currently doing.
"
CUNI-DocTransformer,481,"Sněmovna nedávno kvůli dopadům epidemie covidu schválila zvýšení letošního schodku státního rozpočtu na rekordních 500 miliard korun, z toho 1,75 miliardy má jít na odměny zdravotníků v nemocnicích a sociálních službách.
","Due to the coronavirus pandemic impacts, the Chambre of Deputies approved increase of the this year's state budget deficit by record 500 billion crowns a short time ago, 1,75 billion of which is to be given as renumerations for hospital and social care services medics.
","Due to the fallout from the Covid Epidemic, The Parliament recently approved increasing this year's budget deficit to a record breaking 500 billion crowns, of which 1.75 billion is set aside as bonus pay for health care workers in hospitals and social services.
","The House recently approved an increase in this year's state budget deficit to a record 500 billion crowns due to the effects of the covid epidemic, of which 1.75 billion is to go towards the remuneration of health workers in hospitals and social services.
"
CUNI-DocTransformer,482,"Rada poskytovatelů zdravotní péče podle Šmuclera s plošným navyšováním platů v příštím roce nesouhlasí.
","According to Šmucler, the Health Care Providers Board does not approve of a blanket salary increase next year.
","According to Šmucler, the health care provider board disagrees with an across the board wage increase for the next year.
","According to Šmucler, the Board of Health Care Providers does not agree with the across-the-board salary increases next year.
"
CUNI-DocTransformer,483,"Podle něj by o odměňování měly rozhodovat samotné nemocnice a zdravotnická zařízení a peníze navíc by k nim měly jít přes úhradovou vyhlášku.
","Renumerations, according to him, should be divided by hospitals and health care facilities themselves and extra money should be given by a reimbursement decree.
","According to him, remuneration should be decided by individual hospitals and health care facilities and the extra money should be funded through a reimbursement statute.
","According to him, the remuneration should be decided by the hospitals themselves and the medical facilities, and the extra money should go to them via a reimbursement decree.
"
CUNI-DocTransformer,484,"Vojtěch také uvedl, že nemocnice mají v současnosti dost ochranných pomůcek.
","Vojtěch also said that hospitals had enough protective aids currently.
","Vojtěch also said that at the moment, hospitals have a sufficient supply of protective gear.
","Vojtěch also said that hospitals currently have enough protective equipment.
"
CUNI-DocTransformer,485,"Předseda Správy státních hmotných rezerv (SSHR) Pavel Švagr tento týden řekl, že správa nemá aktuálně v majetku ani jednu ochrannou zdravotní pomůcku.
","Pavel Švagr, the president of the Administration of the State Material Reserves (SSHR), said this week that the SSHR does not have a single protective aid at the moment.
","This week, Pavel Švagr, the chairman of the Administration of State Material Reserves (SSHR), said that the Administration currently does not have a single piece of protective equipment in its possession.
","The chairman of the Administration of State Material Reserves (SSHR), Pavel Švagr, said this week that the administration currently does not have a single protective medical device in its possession.
"
CUNI-DocTransformer,486,"Čeká na dokončení výběrových řízení.
","It is waiting for completing competitive tenderings.
","It is waiting for the completion of tenders.
","It is waiting for the tenders to be completed.
"
CUNI-DocTransformer,487,"Podle Vojtěcha jsou nyní dodavatelé ve světě schopni dodávat zboží lépe než v březnu, kdy byli vykoupeni.
","According to Vojtěch, global suppliers are now capable to deliver goods in better terms than in March, when there was lack of goods.
","According to Vojtěch, world suppliers are now in a better position to deliver goods than they were in March, when they were sold out.
","According to Vojtěch, suppliers in the world are now able to deliver goods better than in March, when they were bought out.
"
CUNI-DocTransformer,488,"Stát by se podle něj měl snažit být ale i co nejvíc soběstačný a nakupovat i od českých firem.
","The state, in his opinion, should try to be as self-sufficient as possible and purchase from Czech firms as well.
","Regardless, he believes that the state should be more self-sufficient and endeavor to purchase from Czech firms.
","The state should also try to be as self-sufficient as possible and buy from Czech companies as well.
"
CUNI-DocTransformer,489,"Drhnoucí chytrou karanténu by mohli převzít vojáci.
","Not working smart quarantine to be taken over by army
","Czech Republic: The troublesome “Smart Quarantine” to be taken over by the military?
","The scrubbing smart quarantine could be taken over by soldiers.
"
CUNI-DocTransformer,490,"Jsme připraveni, vzkazují
","We are prepared, they say
","Their message is: We’re ready
","We are ready, they say
"
CUNI-DocTransformer,491,"""Chytrá karanténa funguje, je co zlepšovat samozřejmě.
","""The smart quarantine is working, but, of course, there is always something to improve.
","“Smart Quarantine is working, but there’s definitely room for improvement.
","""The smart quarantine is working, there is something to improve of course.
"
CUNI-DocTransformer,492,"My budeme dneska diskutovat s armádou o tom večer.
","We are going to discuss it with the army this evening.
","We’ll be discussing this with the military tonight.
","We will discuss it with the army tonight.
"
CUNI-DocTransformer,493,"Armáda funguje perfektně a je otázka, jestli by znovu oni neměli to celé řídit,"" uvedl předseda vlády v neděli ve svém facebookovém pořadu Čau lidi.
","The army works perfectly and it is a question if they should manage everything again,"" the Prime Minister posted in his Facebook show Čau lidi on Sunday.
","Our armed forces are functioning perfectly, and the question is whether they should be taking the whole thing over once again,” said Czech Prime Minister Andrej Babiš on Saturday in his Facebook video series “Hello people”.
","The army is working perfectly and the question is whether they should run the whole thing again,"" the Prime Minister said on Sunday in his Facebook program ""Hi people.""
"
CUNI-DocTransformer,494,"Podle něj se nedaří dostatečně propojit IT systémy a hygienické stanice, které postupně musí přejít na modernější metody fungování.
","According to him, the efforts to connect IT systems and public health offices have failed, they must use more modern methods of working gradually.
","According to him, there is insufficient communication between the IT systems and public health offices, which will gradually have to adopt more up-do-date methods of work.
","He said it was not possible to sufficiently connect IT systems and sanitation stations, which gradually have to move to more modern methods of operation.
"
CUNI-DocTransformer,495,"Problémy byly podle premiéra v Moravskoslezském kraji, kde jsou jedny z aktuálních ohnisek epidemie.
","The problems, according to the Prime Minister, occured in Moravskoslezský region, which has been on of the main pandemic epicentre currently.
","The Prime Minister said that problems occurred in the Moravian-Silesian Region, which is now one of the viral hotspots.
","The problems were in the Moravian-Silesian region, where there are some of the current outbreaks of the epidemic, according to the Prime Minister.
"
CUNI-DocTransformer,496,"Mluvčí ministerstva obrany Jan Pejšek pro ČTK uvedl, že informace o nedělním jednání nemá a že vláda by měla záležitost projednat v pondělí.
","Jan Pejšek, the Ministry of the Defense's spokesman, said to ČTK that he had no information about Sunday's meeting and that the government is to discuss the matter on Monday.
","Defense Ministry spokesperson Jan Pejšek stated in an interview for the Czech Press Agency (ČTK) that he has no information about the Sunday meeting and that the Government should discuss the issue on Monday.
","Defence Ministry spokesperson Jan Pejšek told ČTK that he did not have information about Sunday's meeting and that the government should discuss the matter on Monday.
"
CUNI-DocTransformer,497,"Armáda je na podle něj na tento krok připravena.
","The army is prepared for such a step, according to him.
","He also added that the military is ready to step in.
","The army is ready for this step, he says.
"
CUNI-DocTransformer,498,"Projekt chytré karantény převzalo ministerstvo zdravotnictví 25. května.
","The smart quarantine project was taken over by the Ministry of Health on 25th May.
","The “Smart Quarantine” project was placed under the jurisdiction of the Ministry of Health on May 25th.
","The smart quarantine project was taken over by the Ministry of Health on 25 May.
"
CUNI-DocTransformer,499,"Do té doby chytrou karanténu vedl devadesátičlenný centrální řídící tým zřízený pod armádou jako poradní orgán vlády, který vedl bývalý ministrův náměstek Roman Prymula.
","Until then, the smart quarantine had been led by the 90-member central management team established as the government's advisory body, which was led by Roman Prymula, the former deputy minister.
","Before that, it was managed by a 90-member Central Control Team acting under the direction of the armed forces as a government advisory body headed by former Deputy Minister of Health Roman Prymula.
","Until then, the smart quarantine was led by a 90-member central management team set up under the army as an advisory body to the government, led by former Deputy Minister Roman Prymula.
"
CUNI-DocTransformer,500,"Drhnoucí projekt v neděli zkritizoval ministr vnitra Jan Hamáček (ČSSD).
","The not working project was criticised by the Minister of the Interior Jan Hamáček (ČSSD) on Sunday.
","Jan Hamáček, the country’s Interior Minister (Czech Social Democratic Party), criticized the troublesome project on Sunday.
","The grinding project was criticized by Interior Minister Jan Hamáček (ČSSD) on Sunday.
"
CUNI-DocTransformer,501,"I on nadnesl, že by se ho mohla znovu ujmout armáda.
","He also poited out that the project might be taken over by the army again.
","He, too, proposed that the military take charge.
","He, too, suggested that the army could take over again.
"
CUNI-DocTransformer,502,"Nedostatky v projektu dříve připustil i vládní zmocněnec pro IT a digitalizaci Vladimír Dzurilla, který ho má na starosti.
","The shortcomings of the project were also admitted by Vladimír Dzurilla, the government IT and digitalisation representative, who is in charge of it.
","Previously, Government Commissioner for IT and Digitalization Vladimír Dzurilla, who’s in charge of the system, admitted to its shortcomings.
","The government's IT and digitalization commissioner Vladimír Dzurilla, who is in charge of the project, previously admitted shortcomings in the project.
"
CUNI-DocTransformer,503,"""Systém funguje, ale stále se na tom pracuje.
","""The system is working but we are still working on it.
","“The system is functioning, but we’re still working on it.
","""The system works, but it's still being worked on.
"
